Text,hashtag
wish i had a car here. clinic is so damn far away,[]
heng until cannot sia. called clinic they say open until . went there close shop wth come back take care of me lol although woodland to changi damn far,[]
dont know heng or suay to fall sick on ph,[]
dowan hahaha,[]
"i missed my cat!! one moment ago she was meowing outside my room, the next moment shes gone!! come back kitty!",[]
thanks di,[]
"completely waste of my energy, time and effort.",[]
i think ill arrive singapore only pm fml,[]
"hurhur stuck at jb, not even checkpoint yet i just wanna go home and sleep who wanna fetch me from woodland plzzzzz",[]
funny how one small thing can affect your entire day.,[]
"if i caught it, thatll be my personal property. hahahahah",[]
the pokemon itself doesnt want to be trained. i gave up.,[]
im done *flips table,[]
the thing about passive people is that they make us feel so pushy and dumb and stupid.,[]
amaran terakhir,[]
brruhhhhhhhh. apa ini? kakak dah bagi byk petua. jln sikit boleh x.,[]
"but this pokemon not trained, and need a lot of guidance. and it seems hard to catch too, idk how to lure this pokemon.",['toughlife']
found a rare pokemon. not caught yet. so how now.,[]
i swear this one last warning.,[]
is it when people hungry they get frustrated easily,[]
beibi xuen la,[]
this.,[]
need.cuddles.after.duty.,"['tireddoggoistired', 'plshugdoggo']"
omg this siamdiu song stuck in my mind,[]
lmaoooo beb syiok or not listen speaks singlish,['eargasm']
awwwwwwwwwwww,[]
"celebrating sg ndp doesnt make me any lesser as a malaysian. i spend most of my time here, sg is my home away from home &amp; i love sg as much as i love malaysia","['peacenothatred', 'dontkiasuwithyourlove']"
hahahahaa. theres always a reason behind. but will consider,[]
"i spent most of my days in singapore, ill ogo back to kl say days max/year? its my home alway from home here &amp; i felt genuine love ofc, it doesnt mean that i gave up to be a malaysian then why i bother coming home to vote? hehe happy friday m come sg ill bring eat!",[]
"&amp; think about it, if this was in usa/korea or any other country, will msian still be triggered? i honestly dont think so. its always a thing that msia hates sg and vice versa. no idea why tho. singaporean so kiasu &lt;&lt;&lt; tbh, i dont think so also hahaha",[]
"i asked myself a question, why i never celebrate merdeka? we all know a reason why we never celebrated merdeka for a reason. celebrating singapore nationals day doesnt make me any lesser as a malaysian.",[]
wheeee ndp vibes! happy birthday singapore! ended up at bay east garden because marina barrage was so packed! it feels like the whole singapore gathered there lol! bayfront,['ndp2018']
lol no ah i never apply also,[]
come on its my first ndp!! i missed last year! so i went out to see this year hahaa,[]
prc* lol!,[]
more singaporean than you,[]
ndp,[]
singlish,[]
on ndp! its at upper changiiii lolol.,[]
is life.,[]
need *,[]
want koi rn.,[]
toe bruise still diedie want go out is want how? is want how u tell me,[]
r u ok beb updae me ba,[]
so i was searching picnic place in singapore........... and everywhere seems so ulu far.. omg...........,[]
"friend went to marriage today, and im here lying on my bed ... scrolling twitter &amp; insta.. thinking what to eat for tmrs breakfast.. lol life",[]
,[]
baby what happened to u !!!!,[]
"wow after months of opening of dtl, finally theres food store at upper changi!! wew",['makechangigreatagain']
wait whatttt,[]
hha thanks. its allergic cream and wart remover. im not sick but thanks lol.,[]
"see doctor also $ gone, this month is it eat grass ?",[]
i wanna hold you when im not supposed to,[]
"months ago, i was desperately dying for an answer and explanation. im glad that today, the answer or explanation doesnt matter anymore.",[]
i find it sad that im not sad anymore. lol,[]
awww so sweet. ok i think of u tonight and tmr and tmr tmr lol,[]
occasionally.... i still think of you ....,[]
for real babe? or should i buy something like the sand sand thing and she will just roll over? cause my cat likes to go out jalan jalan. come back like dirty only,[]
how to shower your cat when your cat hates water? cat owner halp plz,[]
,[]
why do we like to waste each others time.,['lastwarning']
"with singapores weather, a thousand dollars worth of makeup also will melt lo.",[]
uob ah. one,[]
dont make a promise you dont intend to keep,[]
so im supposed to go to the bank. but im so lazy. why theres no nearby bank around,[]
say real one. whats the happening with ewl today stopping at every station for more than mins no wayyyyy,[]
youll be ok darling,[]
her face at the end. bruhhhh,[]
permission to carry on maam,[]
size up ops is ready,[]
wow,[]
lol jon where are you working now?,[]
is it me or i find shopping at ntuc very therapeutic? hahahaha..,[]
,[]
singapore,['sephoraplayhouse']
"adun balakong, rip yb.",[]
honestly how many pairs of shoes i need when i only have one pair of feet,[]
come singapore lol youll definitely kill hours at custom hahaha,[]
"so i wanted to transfer $ to myself from bank a to bank b. i only thought of withdrawing the money &amp; deposit it manually, but never thought of doing it online which only requires me mins. whats going on with my brain.",[]
ok. ok sure. ok.,[]
,[]
short people problems. my head always kena hit by peoples handphone on mrt,[]
and the bus is not coming??????? whaaaaiiii,[]
the day where you supposed to cover your teammate and your big boss staff is when youre gonna be late. wew good job joanna,[]
lol dbs sent me ibanking stuffs but not my atm card lol whats going on where my card,[]
sometimes its just the matter of priority.,[]
beibi,[]
. i use all nighter from urban decay. ktnx bottles hor.,[]
"with singapores weather, bottles of setting spray also not enough to keep the makeup on.",[]
"im supposed to go tampines and get farewell gift for my friend. i ended up with a new dress..... for myself.. good job, joanna. good job!",[]
"chin up, face up, youre a diva. - yoga instructor reality : i struggle to hold this pose for seconds. any doga event in singapore pls jio me ktnxbai.",['namaste']
ayyyyy amen to that.,[]
"meet up soon! youre doing really well, proud of you wheeeee",[]
congrats nick!! x,[]
me af.,[]
my tummy tolerance level deteriorated so much after coming here. is it malaysia food too yummy (i.e. too oily) or sg food rly bo rasa at all. lol,[]
passportmalaysia omg. imagine i arrive woodland with no passport.. zzzzzzz,[]
photo eat first hor. roast,[]
i love food more than anything. food is bae roast,"['tamchiak', 'bkkjuly2018']"
wow no need come changi liao u haha,[]
,[]
all the best,[]
applicable,[]
ughhhb missed my bus just cause this girl stopped me on the street,[]
art &gt; shopping chatuchak weekend market jjweekendmarket,['bkk']
"so, my dad found out the instastory function mode. lol","['futuristic', 'stalkingmesince1993']"
,[]
im so tired to the extent that i tapped my ezlink card on my gate lmaoooooooooloooollll,[]
i swear me being late is always caused by traffic light ughhhbnjjhjjahajajjaah,[]
i thought i heard you call my name,[]
"yea u know malaysian cheaper !! cause my friend went to enquiry, singaporean la, they quote him more expensive than mine hahahahahaha",[]
yaaaa power right! i wanna go next year. u want? haha,[]
friend went to conquered mount kk without training. what am i doing w my life lol.,[]
hahahahahahahahah. yes but why cant east visit the west leh? lol,['east5ever']
me in the west for few hours.my friends be like : omg youre in the west! omg all the way to jurong! wa one hour++ leh yup. yup yup and yup.,[]
"mrt problems, not sure if they really pregnant or ? paiseh to ask also",[]
thumbs up,[]
,[]
,[]
okay. regretting it alrdy. fml.,[]
welcome to st century,[]
such a bad influencer,[]
"i like to challenge myself. for example, food poisoning, but still ordered tomyum.",[]
babi bayar $. to arrive late,[]
note to self: mrt faster mrt cheaper mrt wont break down *touch wood,[]
"and i thought i was late again, took grab and the jammmmm omg.",[]
,[]
is u okeh?,[]
congrats amanda proud of you,[]
i need to consider my head rly wanna explode alrdy,[]
to that girl who influenced me to take grab,[]
,[]
lol,[]
fathers day is when suddenly everyone knows how,[]
well if its all red will be like ah long paint wall lolol,[]
why is redhill mrt wall all painted in pink. its redhill not pinkhill,[]
why do i need to feel sorry for something thats not even my fault.,[]
.,[]
,[]
uh what uh uh uhhhhh....,[]
omg,[]
bebbb we missed this loololol,[]
trump and kim jong un both now in singapore wew.,[]
hugs,[]
,[]
,[]
,[]
gross,[]
bodoh ke pe ni? hahahahaha,[]
"so i just had the worst nightmare, my lipstick was broken. woke up, its all well.",['bimbo']
wew u telegram too i didnt know lol,[]
,[]
,['kawan']
republic of lucky plaza. accuracy,[]
a random old aunty just gave me the sweetest smile ever made my day pls stay healthy aunty,[]
walked mins to clinic and found out they close and only opens at . can so suay ma? now have to walk back home again and walk back out later zzzz,['lifewithoutacar']
which idiot like me left meds in office omg,[]
"no beb, nope. youre not a centipede.",[]
,[]
your kind of book lol,[]
,[]
yassss pls. i can spend one whole day in the library,[]
"its one of those nights, and i miss you.",[]
an autumn evening walk - looks like some,[]
tmr ba. after sukiya must walk. i think at promenade,[]
,[]
beb wanna go lol,[]
i kennot tahan org pda kat public.,[]
hahaha same my dad said i fat need exercise more,[]
,[]
ur friend,[]
is it long weekend or something? so many people travelling in singapore.,[]
grace at her very best.,[]
swee choon forever so many people. even at this hour. why tho.,[]
meeting at pm i just managed to get out of my bed at . time management at my very best.,"['malaysiantiming', 'biasaje']"
,[]
"walk more, you so fat.",[]
adulting: going out on a friday night also must think one whole day (still cannot decide until now). cause saturday is laundry day. lol,['growingupsucks']
rindu.,[]
come la. u two come together. i buy u malahotpot wheeee,[]
,[]
"came all the way to macau, but dine in at koufu. i miss singapore already, i think. lol.",[]
"and i thought singapore food has less taste.. until i tried macanese food. mum ordered curry laksa, i literally dipped my noodle into her laksa for the gravy, because macanese food no taste",[]
lmao i just agree not that i havent move lololol chill m,[]
"lmao what again, just agree with it. cause i told her macau police like shuai only. then she say good guy no do police geh agree la. applicable what lmao.",[]
learnt a term from my macau friend today. couldnt agree more,[]
"tempted to go out to tapao mcdonalds, omg should i?",['thefatlaife']
macaus weather so hot that i had to go back hotel to shower and continue shopping lol.,[]
some friends are so annoying that you wish theres a real life blocked button to unfriend them in rl,[]
singapore la,[]
"cant wait to catch up with my cousins! everyone is working outside malaysia now. sydney, china, new zealand, singapore! good to have a good family gatherings",[]
best,[]
why are we so vulnerable?,[]
lmao say until like long haul flight like that. tapi satu jam je.,[]
gonna sleep and wake up to the best food in the world!!,"['malaysia', 'ayamcominghome']"
so done.,[]
"too excited to go home, i went to the gate that is going to kl anyway",[]
"gr, guess who almost board at the wrong gate?",[]
this kid is literally me. lol,[]
"told my dad to only call my did in case of emergency. he called me ystd hello can i speak to anna, no i mean joanna. lollll. and i asked why he called, he said cause youve not read the whatsapp message. lmao okeh.",[]
inconsiderate grabshare rider make us wait more than mins now,[]
can so anot? its raining so heavily how am i supposed to walk home,[]
,[]
lmao,[]
but everyday reminds me of we are working in a team blablabla bullshit,[]
"youre going on leave for the whole week, so you have to clear your work before you leave. what is teamwork you tell me la?",[]
work so late no ot pay. omg what is life.,[]
and this driver dont know how to cut lane ah omg.,[]
regret taking the grab. think bus &amp; mrt works faster. the jam is real.,[]
jake &amp; amy,['Brooklyn99']
me:im going to woodlands next month.friend: you sounded like youre travelling across the country. actually i am ah. its so farrrrrr.,[]
u shifted to bugis? lmao why u quit? then now where u base at? working,[]
lahir generasi bijak pandai - lmao sync so well i kennot?,[]
"where u went? and where u staying rn lol, still at eunos?",[]
worddd. applies to both gender pls rt from baobei,[]
wordd af omg,[]
why is it so hard to even wake up in the morning. life,[]
idedz.,[]
"people whom i see five days a week. this week extra, days for this week",[]
laughed so hard that my back hurts. lol,[]
even the cats here obey the rule. i cant even,[]
googling : why is my hamster ignoring me?,[]
i dont think its nice lol,[]
they call me tun but you can call me tunight. / would swipe right,[]
just had a bowl of ramen and im hungry rn.,['ohthefatlife']
cant wait to see u plz prepare red carpet xo,[]
"i just type ""bye email"" when i meant ""by email"". lol das watchu get when u work on a saturdae",[]
beb ???? plz dont walk on track later k &lt; hahahaaaa,[]
lmaooooo. he will say baby shark doodoodoooldokdlkdkkdkddkld,[]
"nice sia. that day i went kopitiam the baby beside me watching baby shark video, i feel like dancing along",[]
baby shark.,[]
i cant seriously. i crai. let me ask the non malay speakers if they know what is it lmao,[]
ugh early morning screwed up my brows. fml.,[]
"clever clever squirrel jump, one day fall to the ground also omg",[]
,[]
did i overreact to things?,[]
i also need to learn to stop eating malahotpot. pimplescanthidenomore,[]
i need to learn to stop taking grab. the mrt is only mins walk away joanna! i blame u for influencing me. lol,[]
me : struggling to get up to work every.single.morning. would choose to take grab instead saving money by walking to the nearest mrt which is only mins away.,"['dahrosak', 'timetoreflectonlife']"
omg matsabu dah ada twitter,[]
,[]
whutt and how?!??!,['singapore']
qu na li!,[]
,[]
hey becareful yea. lol,['saynotodrugs']
god bless tun ?,"['taklakupulak', 'memangjugak', 'sapenakbeli']"
wow.,[]
"in the end, we only regret the chances we didnt take, relationship we are afraid to have, and the decisions we waited too long to make. im glad i did my part, i hope you are well now, my friend.",[]
,[]
"idk how extra can i go. im having runny nose and i light up scented candle. whats the point, really.",[]
bb diz u,[]
"conversation with my friend last week in singapore. friend: whats the big deal of malaysia election? why is everyone so happy about it?me: hold my beer bish, let me tell you the story of ma people. so proud of telling the singaporeans that we won in",['GE14']
,[]
ikr i rmb eating half of a tub on your behalf when i was stress af during exams period lol i miss uk,[]
"oh what a good job, promised myself to go for evening run today and i ended up at ntuc and i............. got ben&amp;jerrys instead",[]
pretty sure i left it on the checkout machine &lt;/,[]
"i bought yoghurt, and i only came home with . did i accidentally left it at the selfcheckout machine?",[]
jiayou di!!,[]
taobao lol,[]
matter meh? we all know its our,[]
"cis, mari kita bangun",[]
what are best friend for if you both dont team up and laugh at someone you dont like. lol,['howchildish']
"r u ok hugsss. jiayou, xiao di!",[]
hahhahahahahahahahhahaahaahaha,[]
sian. haha,[]
"yb, its time to change your twitter name to finance minister yo",[]
,[]
"cis, mari kita bangun!",[]
wtf when the mrt passes by it bloody blew my hair oi.,[]
where got,[]
wew freedom of press malaysia,[]
no one knows him anyway,[]
lol im whacking the dude only. before this he jilattttt until wtf,[]
"me at friends house warming: , im at the age of even my colleague is worried that i",[]
cuti cuti malaysia ~,[]
siapa yb twitterjaya ni,[]
"whooooaaaaaaa now he's saying ""dont bring us down further!""",[]
"malaysia politics i read on twitter/fb nowadays, mcm wah lai toi hong kong drama only. what a time to be alive!",[]
"wahhhtttt is wrong w u, charles ?",[]
slowly but surely,[]
"well, now i do.",[]
"karma, do you believe in karma?",[]
pls public so i can rt &lt;,[]
bapak mdb / bapak kleptokrat,[]
is it?!?!?!?! whereeeeeee. lmao he memang loser. mca all sama,[]
"lmao maybe hiding under his blanket, years later come back out",[]
thank you for everything over the years,[]
now we can all sing selamat tinggal selamat tinggal najib dan rosmahhhhhh,[]
"jom join the force. armed force, police force, what else u nak. uniform kan attractive",[]
,[]
,[]
to anak-anak malaysia,[]
dapper,[]
????,[]
wa first time think that police car damn zai.,[]
goodbye baby goodbye~,[]
"""majulah seluar dalam untuk malaysia"" lmaoooooooooooooo",[]
hahahahaahahahahaha,[]
faster la,[]
big win beb all worth it,['proudmoment']
ugh. but the coverage is shit.,[]
sound like yishun to me. hahah wts,[]
eh i nak holiday jugak,[]
"dramatic leh, fallen to a stunning loss. tq byebye. undur undur !!",[]
my duty! and its worth it! years later ill still do the same. my duty as a malaysian,[]
"negaraku, tanah tumpah-nya darahku! i cant believe this is",[]
omg this is happening i cant believe it omg ?,[]
wei sei penang kia power sial,[]
yaaasss my mama &amp; popos constituency! yb fong,[]
crush crushing my heart have. lel! oi spr y u like diz ?? ai mai ai mai like that.,[]
election results more gancheong than meeting crush. hahahahahahahahahaha! jk la i got no crush.,[]
i have kaki only. no drink. cause bad for health,[]
"walao i need work tmr leh. cannot leave, boss will fry me kuey teow hahah",[]
gancheong max !!!!! come on spr! i need to kerja besok tau?,[]
u kaki minum now.,[]
"good job, millennials",[]
how to sleep la like that?tmr no need work meh? cepat la spr,[]
woi i jugak nak balik sing my national anthem plz,[]
rakyat rabak.,[]
confirm plus chop!,[]
,[]
"dont get excited yea, hehehehehehehehehehe",[]
hahahahah like,['BAGUS']
,[]
ini-lah klang!,[]
hahahah,[]
not complaining as i am exercising my rights. those leech should just gave up their citizenships. many stateless who born in malaysia needed that citizenship.,[]
people working in overseas/outstation had to take leave to go back to vote ok! i had to take one and a half day off.,[]
we should have a rule/law in malaysia only those who went to vote only can enjoy a day off. saw a lot people travelling overseas but not voting. these people. make full use of free ph but dont vote.,[]
tanah tumpahnya darahku queued up for hours+ &amp; officer,['GE14']
"lmao, officer say i dont look like how i look like in my ic. i brought passport, license semua ada, u check lo.",['simisai']
wa sian i waited hours sial!,[]
bro no need wear cause hot lmao.,[]
happy voting day!!,['GE14']
sk taming jaya! right outside my house wheeeee. how convenient. cheh i thought can meet up,[]
onzzzzz. u wearing bro?,[]
"dont get too excited yea, guys.",[]
"traffic kat jb-sin causeway apparently ok wor as at pm la, updates from friend",[]
"im coming home, malaysia",['GE14']
lmao my engrish i kennot,[]
the last thing my hr told me when she saw me leaving office vote wisely ah! lolol!,['pulangmengundi']
"early morning conversation with my friends dad, he said : good that youre doing your doing your duties (going back home to vote), go put mahathir back up! thanks uncle! - see, even singaporeans also buay tahan jibby lol",[]
,[]
"gaiss, our dhm. wtf.",[]
my only regret is ..... to not going back office to complete my work on weekends i want my dinnahhhh,[]
,[]
pink panthaaaaa,[]
,[]
,[]
home is where the woof is not sure if the cats gonna appreciate our,[]
"travelled almost more than half of singapore today. from changi to sungei tengah, then yishun and now back to the east. singapore, y u so small but feels so big. i had to use one whole day to travel a quarter of sg m y?",[]
"grabsg, really last warning i tell you. kept cancelling my ride last minute. irritaiting!",[]
the aftermath of having malahotpot for meals straight.,[]
hoe hahahaha,[]
,[]
and !!!,"['2', '7']"
to the beautiful view batam missing holidays already!,['throwback']
dia nak oral,[]
the feeling of getting a solid hours sleep too good.,[]
or ? lol,[]
on labour day: went to batam &amp; party with crazy friends. managed to slept for a good hours &amp; took the first ferry from batam to singapore this morning &amp; went straight to work. whole body aching. i guess my body is telling me that i am old.,[]
grab uncle kept talking to me. uncle plzzzz i just wanna sleep.,[]
omg early morning whats wrong w all uber/grab kept delaying my ride omg omggggggg i have a ferry to catch lol,[]
,[]
b.b......,[]
lol beb our fav hangout place.,[]
this lady beside me still wanna reply me on tweet. siao!,[]
want some cheese naan rn.,[]
"idk man, im always late for meet ups. like +mins. i think i have that typical malaysian timing. lel.",[]
no dress up nice means go date meh. i love myself so i dress up nicely lmao,[]
,[]
definitely. tickets booked &amp; all ready!,"['GE14', 'inikalilah']"
"housemate saw me dressed up &amp; put on make up, shes like u going on a hot date ah?lol i cannot dress up for myself meh.",['iambitter']
mp ku,[]
,[]
"argued with my main tenant since the past few days, now i have a lamp for compensation. ok not too bad.",['easilybribed']
i dont pay money to solve your problem this statement can apply in so damn many situation,[]
"hate it when i ask people where they are and they just be silent on it. tf, u dont tell me where u how i estimate what time to go out. idiot.",[]
smile because it happened,[]
"hahaha ya singapore, tapi pantai kat sabah",[]
singapore flyer. yang pantai to kat sabah,[]
sabah tu.,[]
singapore mane ada beach cantik cam ni? hahahahaha,[]
r u okeh,[]
"goodbye, forever.",[]
funny hor. we took the same ride this morning lmao,[]
cant wait for infinity warssssssssssssssss,[]
"honestly tho. called the central div, they take forever to answer call. finally answer call but they say no records found. so passed number to investigating branch. then tell me all io busy. wtf. play pingpong. got diff w msia meh?",[]
"singapore is so small, i met the same rider i met some time last week i took grab lolol.",[]
,[]
rly not. lets meet n take photo,[]
come. legit one i rly wanna wear.,[]
my dad is living in the future. nvl = never mind la. omg,[]
yes?!!? in fact i have a few sets! i can borrow u mine if u dont have one but im too fat so u might not fit hahaha,[]
lets wear baju kebaya to vote!,[]
jommmm. i wear baju kebaya! lololol. people think i siao,[]
,[]
i guess im not ready. and i shall give myself more time.,[]
,[]
"let that shit go. thanks ah, friend",[]
,[]
me planning to run this evening. friend : hey babe lets go korean bbq buffet tonight.me: yea sure. where my evening run went to? totally forgot i need to run and i just had buffet ystd. joanna plzzzzzz,[]
sunrise in singapore yishun dam,[]
,[]
"i swear todays my lucky day, bus driver waited for me when i was slowly walking from m away omg. i swear i didnt purposely walked slowly cause u know, if u run and the bus went off, awkward ah. hahahaa",[]
im disgusted at how they treat the locals and foreigners so differently. i had to pay $ for a library card that only last a year?,[]
"gonna watch dukun this saturday, im excited already!?!?!?!!!",[]
hidup tak bernakna lagi.,[]
,[]
importance of pink nipple wtf hahahahahahahahaha,[]
,[]
lmao whattttttttt,[]
,[]
sometimes not saying anything at all says everything.,[]
,[]
,[]
are u ok? my condolence. stay strong,[]
funding my way back home to vote for ge! because dpm said that malaysians working in,[]
i want mcdonalds breakfast rn,[]
"crazyyyyyyyy aunty just stand at the gate and look into the house. wtf scary omg can i like, call the police alrdy.",[]
,[]
"my neighbour siao, dragged the mum go out like at this hour wth.",[]
why do i feel hungry after eating a xxl fried chicken by myself. ohlordeeee sometimes i dont even know myself.,[]
this is why i love tosh,[]
omg supposed to meet my friend at beauty world at guess whos still on the bed tweeting,[]
"i get it bro, totally",[]
"for all u know dia guna reverse psychology so that we all boleh balik undi dia out. statementni bodoh, sama dgn org yg buat statement. tapi rakyat bukan bodoh tau?",[]
im genuinely happy that my best friend finally found a full time a bit of tears of joy moment. lol. hello if u r reading this siaozhabor youre doing great,[]
how stupid is this?,[]
i never worried about looking desperate because i thought it was better for you to know how i felt about you than to leave you guessing via,[]
jiayou!,[]
waaa,[]
,[]
lol u crazy hahahahahah,[]
from denial to acceptance. im glad i made it this far.,[]
"nuuuh, why u so far. hahaaha. ok if you ever visit singapore do text me! oh, i met a friend here look exactly like you btw lolol. take care!",[]
"wa wa wa, hahah how are you bro. hope you are well are you at melbourne? i might visit some time this year if so i go find u ok",[]
what what wahaattt whaaatttttttttttttttttt,[]
inilah malaysia,[]
bro u want sponsor me singapore &gt; kl flight? hahahahahaha,[]
,[]
// : // kitty from my bnb indon,[]
,[]
good bye forever.,[]
who said that? must be some useless malaysian who dont want go back to vote zzz,[]
,[]
"hello kids pls go vote for ge ok. if i can travel back from singapore (although not very far ah), those in malaysia shouldnt give any lame excuse. janganlah malas!",[]
but i poor. just spent $ on flight fml &lt;/,[]
got my tix $ by flight ughhhh,[]
i got my tix $ two ways haiz heart pain t_________t,[]
"my big boss so nice he told me "" you better book your flight tix now to go back to vote or not the price will hike up!"" xie xie lao ban t____t",[]
thanks!,[]
fmlllll. mine $ one way t_____t havent buy yet. will check later. haiz,[]
wa rabak leave approved but flight tix sky high whathefhuck,[]
may****,[]
what stop ah? no postal votes for singapore haiz,[]
can anybody confirmed with me that the election date confirmed th march wednesday. hello wtf how am i supposed to travel home wtffffffffffffffffffff,[]
i dont wanna wake uppppp i dont wanna go to work,[]
but i want you bb hahah ill let u know plans k xo,[]
omg whutttttt,[]
do i get to meet the dog when i visit melb?,[]
,[]
actually i jugak,[]
how did my evening run turned into ramen as dinner? omg,[]
me: lets go dive soon i saw a cheap deal.beb : no beb i cant swim i'll be fish food. lel.,[]
omg why ah this thing suddenly so hit on my insta also omaigawd,[]
,[]
"if there's one thing i could say to you, that would be ""you're f***ing irritating.""",[]
best,[]
"eat to train, train to eat omg words m.",[]
idk how people can be so selfish when they take up two spaces on mrt. hello plsssssssssddss move tf away,[]
mp-ku,[]
what a time to be alive!,[]
lmaooooooo i kennot,[]
friend : eh where to get coffee as souvenir in singapore? me : *sends picture*friend : r u serious .... ahhahahahahah *gao siew dai is a singapore thing ok lol*,[]
babe are you ok? hugs,[]
"like if i wanna send you then i send you la. dont ask me leh. annoying. i mean, if you saw me go travel then u ask me ok la i will send. but ask only when i sent out zzzz. either i loa or they loa i also cannto differentiate hahaha",[]
"honestly tho why people bother asking ""where's mine"" when i post a pic of postcard i sent out.",[]
whuuuttt,[]
no,[]
hahaha me too but cause i needed to rush to office early today wtf. crazy hahahah,[]
meeeeee too,[]
nice boobs dp btw lolllll. miss u beb.,[]
,[]
big brother also funny sial asked me silly question. i guess theyre bored on duty at this hour.,[]
oh so apparently my neighbour used a stick to hit my tenant and thats why big brother was here lol wtf aunty plz. first day back to sg so happz,[]
just wanna go out sit and chill suddenly see red blue red blue. simi sai,[]
i have a fussy neighbour. small small things call police wtf.,[]
,['新加坡']
lol,[]
,[]
white crater // // kawah putih kawah putih,[]
